Exporting Country,Year,Exports in Millions,Importing Country
Germany (FRG),1997,,Kuwait
Italy,1997,11,Kuwait
Norway,1997,,Kuwait
Russia,1997,96,Kuwait
Singapore,1997,,Kuwait
Soviet Union,1997,,Kuwait
Switzerland,1997,,Kuwait
United Kingdom,1997,58,Kuwait
United States,1997,315,Kuwait
Yugoslavia,1997,,Kuwait
Australia,1998,4,Kuwait
Austria,1998,11,Kuwait
Belgium,1998,6,Kuwait
China,1998,,Kuwait
Egypt,1998,,Kuwait
France,1998,13,Kuwait
Germany (FRG),1998,,Kuwait
Italy,1998,,Kuwait
Norway,1998,,Kuwait
Russia,1998,,Kuwait
Singapore,1998,,Kuwait
Soviet Union,1998,,Kuwait
Switzerland,1998,,Kuwait
United Kingdom,1998,,Kuwait
United States,1998,19,Kuwait
Yugoslavia,1998,,Kuwait
Australia,1999,,Kuwait
Austria,1999,10,Kuwait
Belgium,1999,5,Kuwait
China,1999,,Kuwait
Egypt,1999,,Kuwait
France,1999,176,Kuwait
Germany (FRG),1999,8,Kuwait
Italy,1999,,Kuwait
Norway,1999,,Kuwait
Russia,1999,,Kuwait
Singapore,1999,,Kuwait
Soviet Union,1999,,Kuwait
Switzerland,1999,,Kuwait
United Kingdom,1999,8,Kuwait
United States,1999,5,Kuwait
Yugoslavia,1999,,Kuwait
Australia,2000,,Kuwait
Austria,2000,,Kuwait
Belgium,2000,,Kuwait
China,2000,30,Kuwait
Egypt,2000,,Kuwait
France,2000,170,Kuwait
Germany (FRG),2000,12,Kuwait
Italy,2000,,Kuwait
Norway,2000,,Kuwait
Russia,2000,,Kuwait
Singapore,2000,,Kuwait
Soviet Union,2000,,Kuwait
Switzerland,2000,,Kuwait
United Kingdom,2000,32,Kuwait
United States,2000,,Kuwait
Yugoslavia,2000,,Kuwait
Australia,2001,,Kuwait
Austria,2001,,Kuwait
Belgium,2001,,Kuwait
China,2001,15,Kuwait
Egypt,2001,,Kuwait
France,2001,,Kuwait
Germany (FRG),2001,2,Kuwait
Italy,2001,,Kuwait
Norway,2001,,Kuwait
Russia,2001,,Kuwait
Singapore,2001,,Kuwait
Soviet Union,2001,,Kuwait
Switzerland,2001,50,Kuwait
United Kingdom,2001,,Kuwait
United States,2001,,Kuwait
Yugoslavia,2001,,Kuwait
Australia,2002,,Kuwait
Austria,2002,,Kuwait
Belgium,2002,,Kuwait
China,2002,20,Kuwait
Egypt,2002,,Kuwait
France,2002,,Kuwait
Germany (FRG),2002,3,Kuwait
Italy,2002,,Kuwait
Norway,2002,,Kuwait
Russia,2002,,Kuwait
Singapore,2002,,Kuwait
Soviet Union,2002,,Kuwait
Switzerland,2002,,Kuwait
United Kingdom,2002,,Kuwait
United States,2002,,Kuwait
Yugoslavia,2002,,Kuwait
Australia,2003,,Kuwait
Austria,2003,,Kuwait
Belgium,2003,,Kuwait
China,2003,21,Kuwait
Egypt,2003,,Kuwait
France,2003,,Kuwait
Germany (FRG),2003,3,Kuwait
Italy,2003,,Kuwait
Norway,2003,,Kuwait
Russia,2003,,Kuwait
Singapore,2003,,Kuwait
Soviet Union,2003,,Kuwait
Switzerland,2003,,Kuwait
United Kingdom,2003,,Kuwait
United States,2003,21,Kuwait
Yugoslavia,2003,,Kuwait
Australia,2004,,Kuwait
Austria,2004,,Kuwait
Belgium,2004,,Kuwait
China,2004,,Kuwait
Egypt,2004,,Kuwait
France,2004,,Kuwait
Germany (FRG),2004,2,Kuwait
Italy,2004,,Kuwait
Norway,2004,,Kuwait
Russia,2004,,Kuwait
Singapore,2004,,Kuwait
Soviet Union,2004,,Kuwait
Switzerland,2004,,Kuwait
United Kingdom,2004,,Kuwait
United States,2004,,Kuwait
Yugoslavia,2004,,Kuwait
Australia,2005,,Kuwait
Austria,2005,,Kuwait
Belgium,2005,,Kuwait
China,2005,,Kuwait
Egypt,2005,,Kuwait
France,2005,7,Kuwait
Germany (FRG),2005,,Kuwait
Italy,2005,,Kuwait
Norway,2005,,Kuwait
Russia,2005,,Kuwait
Singapore,2005,,Kuwait
Soviet Union,2005,,Kuwait
Switzerland,2005,,Kuwait
United Kingdom,2005,,Kuwait
United States,2005,5,Kuwait
Yugoslavia,2005,,Kuwait
Australia,2006,,Kuwait
Austria,2006,,Kuwait
Belgium,2006,,Kuwait
China,2006,,Kuwait
Egypt,2006,,Kuwait
France,2006,,Kuwait
Germany (FRG),2006,,Kuwait
Italy,2006,,Kuwait
Norway,2006,,Kuwait
Russia,2006,,Kuwait
Singapore,2006,,Kuwait
Soviet Union,2006,,Kuwait
Switzerland,2006,,Kuwait
United Kingdom,2006,,Kuwait
United States,2006,5,Kuwait
Yugoslavia,2006,,Kuwait
Australia,2007,,Kuwait
Austria,2007,,Kuwait
Belgium,2007,,Kuwait
China,2007,,Kuwait
Egypt,2007,,Kuwait
France,2007,,Kuwait
Germany (FRG),2007,,Kuwait
Italy,2007,,Kuwait
Norway,2007,,Kuwait
Russia,2007,,Kuwait
Singapore,2007,,Kuwait
Soviet Union,2007,,Kuwait
Switzerland,2007,,Kuwait
United Kingdom,2007,,Kuwait
United States,2007,279,Kuwait
Yugoslavia,2007,,Kuwait
Australia,2008,,Kuwait
Austria,2008,,Kuwait
Belgium,2008,,Kuwait
China,2008,,Kuwait
Egypt,2008,,Kuwait
France,2008,,Kuwait
Germany (FRG),2008,,Kuwait
Italy,2008,5,Kuwait
Norway,2008,,Kuwait
Russia,2008,,Kuwait
Singapore,2008,,Kuwait
Soviet Union,2008,,Kuwait
Switzerland,2008,,Kuwait
United Kingdom,2008,,Kuwait
United States,2008,,Kuwait
Yugoslavia,2008,,Kuwait
Australia,2009,,Kuwait
Austria,2009,0,Kuwait
Belgium,2009,,Kuwait
China,2009,,Kuwait
Egypt,2009,,Kuwait
France,2009,2,Kuwait
Germany (FRG),2009,,Kuwait
Italy,2009,5,Kuwait
Norway,2009,1,Kuwait
Russia,2009,,Kuwait
